Reporting level,Province/territory,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2015,Hours,504.0
Provincial,Newfoundland and Labrador,CT Scan,Volume,2015,Number of cases,39052.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,50th Percentile,2015,Hours,22.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,Volume,2015,Number of cases,234.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,24.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,238.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2015,Hours,1992.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2015,Number of cases,245.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2015,Hours,2376.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2015,Number of cases,447.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2015,Hours,456.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2015,Number of cases,33.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2015,Hours,1152.0
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2015,Number of cases,9695.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2015,Hours,888.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2015,Number of cases,69.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2015,Hours,312.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2015,Number of cases,357.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2015,Hours,816.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2015,Number of cases,364.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2015,Hours,384.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2015,Number of cases,496.0
Provincial,Nova Scotia,CABG,50th Percentile,2015,Hours,216.0
Provincial,Nova Scotia,CABG,Volume,2015,Number of cases,158.0
Provincial,Nova Scotia,Cataract surgery,50th Percentile,2015,Hours,2232.0
Provincial,Nova Scotia,Cataract surgery,Volume,2015,Number of cases,3637.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2015,Hours,624.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2015,Number of cases,271.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2015,Hours,504.0
Provincial,Nova Scotia,CT Scan,Volume,2015,Number of cases,33563.0
Provincial,Nova Scotia,Hip Fracture Repair,50th Percentile,2015,Hours,22.0
Provincial,Nova Scotia,Hip Fracture Repair,Volume,2015,Number of cases,435.0
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,25.108333335
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,0.0
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2015,Hours,4152.0
Provincial,Nova Scotia,Hip Replacement,Volume,2015,Number of cases,575.0
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2015,Hours,6504.0
Provincial,Nova Scotia,Knee Replacement,Volume,2015,Number of cases,934.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2015,Hours,1128.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2015,Number of cases,133.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2015,Hours,1320.0
Provincial,Nova Scotia,MRI Scan,Volume,2015,Number of cases,10319.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2015,Hours,1104.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2015,Number of cases,56.0
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2015,Hours,240.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2015,Number of cases,1439.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2015,Hours,576.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2015,Number of cases,5996.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2015,Hours,384.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2015,Number of cases,5811.0
Provincial,Ontario,CABG,50th Percentile,2015,Hours,192.0
Provincial,Ontario,CABG,Volume,2015,Number of cases,3055.0
Provincial,Ontario,Cataract surgery,50th Percentile,2015,Hours,1488.0
Provincial,Ontario,Cataract surgery,Volume,2015,Number of cases,64098.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2015,Hours,432.0
Provincial,Ontario,Colorectal Cancer Surgery,Volume,2015,Number of cases,2698.0
Provincial,Ontario,CT Scan,50th Percentile,2015,Hours,168.0
Provincial,Ontario,CT Scan,Volume,2015,Number of cases,365817.0
Provincial,Ontario,Hip Fracture Repair,50th Percentile,2015,Hours,23.0
Provincial,Ontario,Hip Fracture Repair,Volume,2015,Number of cases,5546.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,28.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,5066.0
Provincial,Ontario,Hip Replacement,50th Percentile,2015,Hours,1800.0
Provincial,Ontario,Hip Replacement,Volume,2015,Number of cases,7700.0
Provincial,Ontario,Knee Replacement,50th Percentile,2015,Hours,1920.0
Provincial,Ontario,Knee Replacement,Volume,2015,Number of cases,13031.0
Provincial,Ontario,Lung Cancer Surgery,50th Percentile,2015,Hours,432.0
Provincial,Ontario,Lung Cancer Surgery,Volume,2015,Number of cases,1658.0
Provincial,Ontario,MRI Scan,50th Percentile,2015,Hours,864.0
Provincial,Ontario,MRI Scan,Volume,2015,Number of cases,306561.0
Provincial,Ontario,Prostate Cancer Surgery,50th Percentile,2015,Hours,864.0
Provincial,Ontario,Prostate Cancer Surgery,Volume,2015,Number of cases,1479.0
Provincial,Ontario,Radiation Therapy,50th Percentile,2015,Hours,168.0
Provincial,Ontario,Radiation Therapy,Volume,2015,Number of cases,15652.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,50th Percentile,2015,Hours,888.0
Provincial,Prince Edward Island,Bladder Cancer Surgery,Volume,2015,Number of cases,28.0
Provincial,Prince Edward Island,Breast Cancer Surgery,50th Percentile,2015,Hours,432.0
Provincial,Prince Edward Island,Breast Cancer Surgery,Volume,2015,Number of cases,59.0
Provincial,Prince Edward Island,CABG,50th Percentile,2015,Hours,191.76
Provincial,Prince Edward Island,CABG,Volume,2015,Number of cases,0.0
Provincial,Prince Edward Island,Cataract surgery,50th Percentile,2015,Hours,1356.0
Provincial,Prince Edward Island,Cataract surgery,Volume,2015,Number of cases,554.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,50th Percentile,2015,Hours,528.0
Provincial,Prince Edward Island,Colorectal Cancer Surgery,Volume,2015,Number of cases,39.0
Provincial,Prince Edward Island,CT Scan,50th Percentile,2015,Hours,720.0
Provincial,Prince Edward Island,CT Scan,Volume,2015,Number of cases,3556.0
Provincial,Prince Edward Island,Hip Fracture Repair,50th Percentile,2015,Hours,24.0
Provincial,Prince Edward Island,Hip Fracture Repair,Volume,2015,Number of cases,60.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,31.0
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,54.0
Provincial,Prince Edward Island,Hip Replacement,50th Percentile,2015,Hours,2208.0
Provincial,Prince Edward Island,Hip Replacement,Volume,2015,Number of cases,83.0
Provincial,Prince Edward Island,Knee Replacement,50th Percentile,2015,Hours,2688.0
Provincial,Prince Edward Island,Knee Replacement,Volume,2015,Number of cases,139.0
Provincial,Prince Edward Island,Lung Cancer Surgery,50th Percentile,2015,Hours,528.0
Provincial,Prince Edward Island,Lung Cancer Surgery,Volume,2015,Number of cases,0.0
Provincial,Prince Edward Island,MRI Scan,50th Percentile,2015,Hours,1344.0
Provincial,Prince Edward Island,MRI Scan,Volume,2015,Number of cases,1748.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,50th Percentile,2015,Hours,972.0
Provincial,Prince Edward Island,Prostate Cancer Surgery,Volume,2015,Number of cases,8.5
Provincial,Prince Edward Island,Radiation Therapy,50th Percentile,2015,Hours,288.0
Provincial,Prince Edward Island,Radiation Therapy,Volume,2015,Number of cases,224.0
Provincial,Quebec,Bladder Cancer Surgery,50th Percentile,2015,Hours,624.0
Provincial,Quebec,Bladder Cancer Surgery,Volume,2015,Number of cases,2719.0
Provincial,Quebec,Breast Cancer Surgery,50th Percentile,2015,Hours,504.0
Provincial,Quebec,Breast Cancer Surgery,Volume,2015,Number of cases,4119.0
Provincial,Quebec,CABG,50th Percentile,2015,Hours,191.76
Provincial,Quebec,CABG,Volume,2015,Number of cases,3221.0
Provincial,Quebec,Cataract surgery,50th Percentile,2015,Hours,840.0
Provincial,Quebec,Cataract surgery,Volume,2015,Number of cases,45079.0
Provincial,Quebec,Colorectal Cancer Surgery,50th Percentile,2015,Hours,528.0
Provincial,Quebec,Colorectal Cancer Surgery,Volume,2015,Number of cases,2206.0
Provincial,Quebec,CT Scan,50th Percentile,2015,Hours,504.0
Provincial,Quebec,CT Scan,Volume,2015,Number of cases,0.0
Provincial,Quebec,Hip Fracture Repair,50th Percentile,2015,Hours,22.0
Provincial,Quebec,Hip Fracture Repair,Volume,2015,Number of cases,0.0
Provincial,Quebec,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,25.108333335
Provincial,Quebec,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,0.0
Provincial,Quebec,Hip Replacement,50th Percentile,2015,Hours,1968.0
Provincial,Quebec,Hip Replacement,Volume,2015,Number of cases,3264.0
Provincial,Quebec,Knee Replacement,50th Percentile,2015,Hours,2256.0
Provincial,Quebec,Knee Replacement,Volume,2015,Number of cases,5081.0
Provincial,Quebec,Lung Cancer Surgery,50th Percentile,2015,Hours,528.0
Provincial,Quebec,Lung Cancer Surgery,Volume,2015,Number of cases,1306.0
Provincial,Quebec,MRI Scan,50th Percentile,2015,Hours,1152.0
Provincial,Quebec,MRI Scan,Volume,2015,Number of cases,0.0
Provincial,Quebec,Prostate Cancer Surgery,50th Percentile,2015,Hours,816.0
Provincial,Quebec,Prostate Cancer Surgery,Volume,2015,Number of cases,801.0
Provincial,Quebec,Radiation Therapy,50th Percentile,2015,Hours,235.20000000000002
Provincial,Quebec,Radiation Therapy,Volume,2015,Number of cases,11736.0
Provincial,Saskatchewan,Bladder Cancer Surgery,50th Percentile,2015,Hours,384.0
Provincial,Saskatchewan,Bladder Cancer Surgery,Volume,2015,Number of cases,233.0
Provincial,Saskatchewan,Breast Cancer Surgery,50th Percentile,2015,Hours,432.0
Provincial,Saskatchewan,Breast Cancer Surgery,Volume,2015,Number of cases,397.0
Provincial,Saskatchewan,CABG,50th Percentile,2015,Hours,96.0
Provincial,Saskatchewan,CABG,Volume,2015,Number of cases,207.0
Provincial,Saskatchewan,Cataract surgery,50th Percentile,2015,Hours,840.0
Provincial,Saskatchewan,Cataract surgery,Volume,2015,Number of cases,3567.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,50th Percentile,2015,Hours,384.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2015,Number of cases,227.0
Provincial,Saskatchewan,CT Scan,50th Percentile,2015,Hours,504.0
Provincial,Saskatchewan,CT Scan,Volume,2015,Number of cases,19705.0
Provincial,Saskatchewan,Hip Fracture Repair,50th Percentile,2015,Hours,25.0
Provincial,Saskatchewan,Hip Fracture Repair,Volume,2015,Number of cases,532.0
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,25.108333335
Provincial,Saskatchewan,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,0.0
Provincial,Saskatchewan,Hip Replacement,50th Percentile,2015,Hours,1272.0
Provincial,Saskatchewan,Hip Replacement,Volume,2015,Number of cases,794.0
Provincial,Saskatchewan,Knee Replacement,50th Percentile,2015,Hours,1488.0
Provincial,Saskatchewan,Knee Replacement,Volume,2015,Number of cases,1202.0
Provincial,Saskatchewan,Lung Cancer Surgery,50th Percentile,2015,Hours,360.0
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2015,Number of cases,54.0
Provincial,Saskatchewan,MRI Scan,50th Percentile,2015,Hours,768.0
Provincial,Saskatchewan,MRI Scan,Volume,2015,Number of cases,11584.0
Provincial,Saskatchewan,Prostate Cancer Surgery,50th Percentile,2015,Hours,1152.0
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2015,Number of cases,110.0
Provincial,Saskatchewan,Radiation Therapy,50th Percentile,2015,Hours,192.0
Provincial,Saskatchewan,Radiation Therapy,Volume,2015,Number of cases,1001.0
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2016,Hours,720.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2016,Number of cases,448.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2016,Hours,480.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2016,Number of cases,1074.0
Provincial,Alberta,CABG,50th Percentile,2016,Hours,144.0
Provincial,Alberta,CABG,Volume,2016,Number of cases,524.0
Provincial,Alberta,Cataract surgery,50th Percentile,2016,Hours,2208.0
Provincial,Alberta,Cataract surgery,Volume,2016,Number of cases,11770.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2016,Hours,648.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2016,Number of cases,419.0
Provincial,Alberta,CT Scan,50th Percentile,2016,Hours,648.0
Provincial,Alberta,CT Scan,Volume,2016,Number of cases,80876.0
Provincial,Alberta,Hip Fracture Repair,50th Percentile,2016,Hours,20.0
Provincial,Alberta,Hip Fracture Repair,Volume,2016,Number of cases,1422.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,25.0
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,1261.0
Provincial,Alberta,Hip Replacement,50th Percentile,2016,Hours,2184.0
Provincial,Alberta,Hip Replacement,Volume,2016,Number of cases,2043.0
Provincial,Alberta,Knee Replacement,50th Percentile,2016,Hours,2712.0
Provincial,Alberta,Knee Replacement,Volume,2016,Number of cases,3174.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2016,Hours,792.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2016,Number of cases,290.0
Provincial,Alberta,MRI Scan,50th Percentile,2016,Hours,2040.0
Provincial,Alberta,MRI Scan,Volume,2016,Number of cases,59916.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2016,Hours,1152.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2016,Number of cases,571.0
Provincial,Alberta,Radiation Therapy,50th Percentile,2016,Hours,168.0
Provincial,Alberta,Radiation Therapy,Volume,2016,Number of cases,4071.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2016,Hours,528.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2016,Number of cases,1673.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2016,Hours,408.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2016,Number of cases,1859.0
Provincial,British Columbia,CABG,50th Percentile,2016,Hours,192.0
Provincial,British Columbia,CABG,Volume,2016,Number of cases,1054.0
Provincial,British Columbia,Cataract surgery,50th Percentile,2016,Hours,1776.0
Provincial,British Columbia,Cataract surgery,Volume,2016,Number of cases,28155.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2016,Hours,504.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2016,Number of cases,1014.0
Provincial,British Columbia,CT Scan,50th Percentile,2016,Hours,528.0
Provincial,British Columbia,CT Scan,Volume,2016,Number of cases,146365.5
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2016,Hours,26.0
Provincial,British Columbia,Hip Fracture Repair,Volume,2016,Number of cases,1905.0
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,25.108333335
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,0.0
Provincial,British Columbia,Hip Replacement,50th Percentile,2016,Hours,3384.0
Provincial,British Columbia,Hip Replacement,Volume,2016,Number of cases,2929.0
Provincial,British Columbia,Knee Replacement,50th Percentile,2016,Hours,4608.0
Provincial,British Columbia,Knee Replacement,Volume,2016,Number of cases,4232.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2016,Hours,456.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2016,Number of cases,375.0
Provincial,British Columbia,MRI Scan,50th Percentile,2016,Hours,1140.0
Provincial,British Columbia,MRI Scan,Volume,2016,Number of cases,89661.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2016,Hours,864.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2016,Number of cases,406.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2016,Hours,192.0
Provincial,British Columbia,Radiation Therapy,Volume,2016,Number of cases,6585.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2016,Hours,600.0
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2016,Number of cases,0.0
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2016,Hours,552.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2016,Number of cases,147.0
Provincial,Manitoba,CABG,50th Percentile,2016,Hours,216.0
Provincial,Manitoba,CABG,Volume,2016,Number of cases,203.0
Provincial,Manitoba,Cataract surgery,50th Percentile,2016,Hours,3552.0
Provincial,Manitoba,Cataract surgery,Volume,2016,Number of cases,2915.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2016,Hours,480.0
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2016,Number of cases,0.0
Provincial,Manitoba,CT Scan,50th Percentile,2016,Hours,504.0
Provincial,Manitoba,CT Scan,Volume,2016,Number of cases,40439.0
Provincial,Manitoba,Hip Fracture Repair,50th Percentile,2016,Hours,19.0
Provincial,Manitoba,Hip Fracture Repair,Volume,2016,Number of cases,575.0
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,25.108333335
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,0.0
Provincial,Manitoba,Hip Replacement,50th Percentile,2016,Hours,3264.0
Provincial,Manitoba,Hip Replacement,Volume,2016,Number of cases,697.0
Provincial,Manitoba,Knee Replacement,50th Percentile,2016,Hours,3840.0
Provincial,Manitoba,Knee Replacement,Volume,2016,Number of cases,1084.0
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2016,Hours,600.0
Provincial,Manitoba,Lung Cancer Surgery,Volume,2016,Number of cases,116.0
Provincial,Manitoba,MRI Scan,50th Percentile,2016,Hours,2640.0
Provincial,Manitoba,MRI Scan,Volume,2016,Number of cases,26183.0
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2016,Hours,972.0
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2016,Number of cases,0.0
Provincial,Manitoba,Radiation Therapy,50th Percentile,2016,Hours,240.0
Provincial,Manitoba,Radiation Therapy,Volume,2016,Number of cases,1503.0
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2016,Hours,744.0
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2016,Number of cases,258.0
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2016,Hours,456.0
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2016,Number of cases,342.0
Provincial,New Brunswick,CABG,50th Percentile,2016,Hours,240.0
Provincial,New Brunswick,CABG,Volume,2016,Number of cases,204.0
Provincial,New Brunswick,Cataract surgery,50th Percentile,2016,Hours,1536.0
Provincial,New Brunswick,Cataract surgery,Volume,2016,Number of cases,5310.0
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2016,Hours,504.0
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2016,Number of cases,221.0
Provincial,New Brunswick,CT Scan,50th Percentile,2016,Hours,504.0
Provincial,New Brunswick,CT Scan,Volume,2016,Number of cases,0.0
Provincial,New Brunswick,Hip Fracture Repair,50th Percentile,2016,Hours,19.0
Provincial,New Brunswick,Hip Fracture Repair,Volume,2016,Number of cases,361.0
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,25.108333335
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,0.0
Provincial,New Brunswick,Hip Replacement,50th Percentile,2016,Hours,3936.0
Provincial,New Brunswick,Hip Replacement,Volume,2016,Number of cases,505.0
Provincial,New Brunswick,Knee Replacement,50th Percentile,2016,Hours,4320.0
Provincial,New Brunswick,Knee Replacement,Volume,2016,Number of cases,925.0
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2016,Hours,696.0
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2016,Number of cases,102.0
Provincial,New Brunswick,MRI Scan,50th Percentile,2016,Hours,1152.0
Provincial,New Brunswick,MRI Scan,Volume,2016,Number of cases,0.0
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2016,Hours,936.0
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2016,Number of cases,85.0
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2016,Hours,168.0
Provincial,New Brunswick,Radiation Therapy,Volume,2016,Number of cases,947.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2016,Hours,552.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2016,Number of cases,135.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2016,Hours,408.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2016,Number of cases,282.0
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2016,Hours,144.0
Provincial,Newfoundland and Labrador,CABG,Volume,2016,Number of cases,152.0
Provincial,Newfoundland and Labrador,Cataract surgery,50th Percentile,2016,Hours,1560.0
Provincial,Newfoundland and Labrador,Cataract surgery,Volume,2016,Number of cases,2053.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2016,Hours,312.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2016,Number of cases,237.0
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2016,Hours,504.0
Provincial,Newfoundland and Labrador,CT Scan,Volume,2016,Number of cases,38484.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,50th Percentile,2016,Hours,20.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair,Volume,2016,Number of cases,181.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,22.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,233.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2016,Hours,2400.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2016,Number of cases,252.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2016,Hours,3048.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2016,Number of cases,498.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2016,Hours,456.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2016,Number of cases,33.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2016,Hours,1152.0
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2016,Number of cases,9434.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2016,Hours,648.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2016,Number of cases,68.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2016,Hours,288.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2016,Number of cases,393.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2016,Hours,744.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2016,Number of cases,385.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2016,Hours,384.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2016,Number of cases,472.0
Provincial,Nova Scotia,CABG,50th Percentile,2016,Hours,168.0
Provincial,Nova Scotia,CABG,Volume,2016,Number of cases,163.0
Provincial,Nova Scotia,Cataract surgery,50th Percentile,2016,Hours,2208.0
Provincial,Nova Scotia,Cataract surgery,Volume,2016,Number of cases,4004.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2016,Hours,576.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2016,Number of cases,293.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2016,Hours,624.0
Provincial,Nova Scotia,CT Scan,Volume,2016,Number of cases,35109.0
Provincial,Nova Scotia,Hip Fracture Repair,50th Percentile,2016,Hours,21.0
Provincial,Nova Scotia,Hip Fracture Repair,Volume,2016,Number of cases,294.0
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,25.108333335
Provincial,Nova Scotia,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,0.0
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2016,Hours,3648.0
Provincial,Nova Scotia,Hip Replacement,Volume,2016,Number of cases,600.0
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2016,Hours,6240.0
Provincial,Nova Scotia,Knee Replacement,Volume,2016,Number of cases,1001.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2016,Hours,1080.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2016,Number of cases,127.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2016,Hours,1368.0
Provincial,Nova Scotia,MRI Scan,Volume,2016,Number of cases,11099.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2016,Hours,960.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2016,Number of cases,89.0
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2016,Hours,264.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2016,Number of cases,1612.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2016,Hours,576.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2016,Number of cases,6094.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2016,Hours,384.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2016,Number of cases,5911.0
Provincial,Ontario,CABG,50th Percentile,2016,Hours,204.0
Provincial,Ontario,CABG,Volume,2016,Number of cases,3146.0
Provincial,Ontario,Cataract surgery,50th Percentile,2016,Hours,1560.0
Provincial,Ontario,Cataract surgery,Volume,2016,Number of cases,66098.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2016,Hours,432.0
Provincial,Ontario,Colorectal Cancer Surgery,Volume,2016,Number of cases,2570.0
Provincial,Ontario,CT Scan,50th Percentile,2016,Hours,144.0
Provincial,Ontario,CT Scan,Volume,2016,Number of cases,448755.0
Provincial,Ontario,Hip Fracture Repair,50th Percentile,2016,Hours,23.0
Provincial,Ontario,Hip Fracture Repair,Volume,2016,Number of cases,5639.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2016,Hours,29.0
Provincial,Ontario,Hip Fracture Repair/Emergency and Inpatient,Volume,2016,Number of cases,5104.0
